"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2023","2,706.79","2,712.39","2,722.51","2,699.90","","-0.29%"
"02/28/2023","2,714.57","2,722.42","2,727.11","2,711.84","","-0.26%"
"02/27/2023","2,721.63","2,707.03","2,740.41","2,705.60","","0.54%"
"02/24/2023","2,706.91","2,737.48","2,740.32","2,693.98","","-1.11%"
"02/23/2023","2,737.41","2,729.43","2,748.70","2,715.26","","0.24%"
"02/22/2023","2,730.88","2,736.61","2,743.28","2,722.61","","-0.35%"
"02/21/2023","2,740.38","2,782.14","2,782.76","2,736.77","","-1.54%"
"02/20/2023","2,783.26","2,781.45","2,785.34","2,780.41","","0.12%"
"02/17/2023","2,779.88","2,790.54","2,790.54","2,763.85","","-0.39%"
"02/16/2023","2,790.63","2,818.43","2,824.78","2,787.29","","-0.88%"
"02/15/2023","2,815.45","2,813.23","2,817.12","2,792.25","","0.10%"
"02/14/2023","2,812.53","2,811.12","2,829.73","2,791.90","","0.09%"
"02/13/2023","2,810.04","2,782.82","2,812.11","2,779.14","","0.94%"
"02/10/2023","2,783.91","2,787.09","2,789.25","2,769.13","","-0.24%"
"02/09/2023","2,790.53","2,800.84","2,830.10","2,781.71","","-0.41%"
"02/08/2023","2,801.96","2,823.42","2,830.54","2,798.57","","-0.66%"
"02/07/2023","2,820.49","2,794.89","2,829.03","2,784.04","","0.96%"
"02/06/2023","2,793.59","2,815.68","2,817.65","2,783.82","","-0.96%"
"02/03/2023","2,820.73","2,844.84","2,848.36","2,811.35","","-0.95%"
"02/02/2023","2,847.82","2,814.38","2,854.08","2,814.08","","1.35%"
"02/01/2023","2,809.94","2,785.75","2,828.89","2,767.39","","0.90%"
"01/31/2023","2,785.00","2,757.73","2,786.13","2,748.50","","0.93%"
"01/30/2023","2,759.32","2,787.68","2,788.19","2,756.21","","-0.95%"
"01/27/2023","2,785.84","2,780.60","2,798.64","2,773.46","","0.30%"
"01/26/2023","2,777.62","2,759.45","2,780.52","2,754.62","","0.76%"
"01/25/2023","2,756.73","2,756.37","2,760.02","2,721.36","","0.03%"
"01/24/2023","2,755.96","2,755.33","2,762.15","2,738.86","","0.04%"
"01/23/2023","2,754.96","2,727.79","2,763.79","2,727.42","","1.08%"
"01/20/2023","2,725.40","2,687.44","2,727.70","2,685.67","","1.49%"
"01/19/2023","2,685.32","2,709.80","2,710.29","2,679.20","","-1.04%"
"01/18/2023","2,713.54","2,735.76","2,757.52","2,708.56","","-0.84%"
"01/17/2023","2,736.45","2,735.65","2,748.78","2,731.61","","0.02%"
"01/16/2023","2,735.88","2,735.81","2,739.12","2,731.81","","0.01%"
"01/13/2023","2,735.72","2,723.22","2,737.94","2,707.39","","0.57%"
"01/12/2023","2,720.09","2,701.65","2,730.89","2,690.58","","0.72%"
"01/11/2023","2,700.75","2,671.80","2,701.46","2,671.71","","1.11%"
"01/10/2023","2,671.20","2,662.12","2,671.75","2,650.08","","0.30%"
"01/09/2023","2,663.17","2,654.48","2,691.64","2,653.58","","0.51%"
"01/06/2023","2,649.76","2,595.89","2,657.64","2,593.28","","2.12%"
"01/05/2023","2,594.69","2,624.28","2,626.87","2,592.70","","-1.13%"
"01/04/2023","2,624.35","2,599.92","2,634.61","2,598.29","","0.90%"
"01/03/2023","2,600.91","2,608.74","2,633.18","2,586.24","","-0.24%"
"01/02/2023","2,607.25","2,604.53","2,609.03","2,604.53","","0.18%"
"12/30/2022","2,602.69","2,613.36","2,614.05","2,587.44","","-0.36%"
"12/29/2022","2,611.98","2,574.51","2,617.17","2,570.90","","1.43%"
"12/28/2022","2,575.16","2,600.38","2,612.36","2,573.54","","-0.99%"
"12/27/2022","2,600.94","2,608.20","2,611.30","2,592.37","","-0.17%"
"12/26/2022","2,605.48","2,605.68","2,606.62","2,605.21","","0.01%"
"12/23/2022","2,605.19","2,593.48","2,605.51","2,580.24","","0.38%"
"12/22/2022","2,595.25","2,625.97","2,633.79","2,566.48","","-1.21%"
"12/21/2022","2,626.92","2,592.82","2,632.03","2,590.33","","1.31%"
"12/20/2022","2,592.86","2,587.70","2,601.81","2,577.42","","0.27%"
"12/19/2022","2,585.89","2,606.21","2,610.83","2,579.17","","-0.77%"
"12/16/2022","2,606.01","2,635.29","2,636.70","2,594.89","","-1.17%"
"12/15/2022","2,636.91","2,705.69","2,705.91","2,626.06","","-2.53%"
"12/14/2022","2,705.31","2,714.26","2,733.72","2,688.62","","-0.37%"
"12/13/2022","2,715.49","2,684.42","2,761.16","2,684.39","","1.19%"
"12/12/2022","2,683.56","2,662.15","2,684.31","2,656.99","","0.78%"
"12/09/2022","2,662.86","2,670.71","2,685.10","2,661.43","","-0.28%"
"12/08/2022","2,670.27","2,654.37","2,677.00","2,650.75","","0.60%"
"12/07/2022","2,654.34","2,659.53","2,668.34","2,649.53","","-0.29%"
"12/06/2022","2,662.07","2,692.95","2,695.06","2,648.60","","-1.27%"
"12/05/2022","2,696.30","2,737.77","2,741.26","2,685.68","","-1.34%"
"12/02/2022","2,733.03","2,742.79","2,743.74","2,710.94","","-0.29%"
"12/01/2022","2,741.08","2,730.07","2,754.80","2,727.06","","0.74%"
"11/30/2022","2,720.89","2,661.08","2,729.73","2,654.45","","2.16%"
"11/29/2022","2,663.25","2,664.37","2,675.56","2,652.80","","-0.19%"
"11/28/2022","2,668.44","2,701.95","2,703.05","2,660.62","","-1.30%"
"11/25/2022","2,703.67","2,705.29","2,707.72","2,697.59","","-0.09%"
"11/24/2022","2,706.01","2,698.66","2,706.92","2,698.65","","0.32%"
"11/23/2022","2,697.39","2,677.58","2,701.98","2,676.33","","0.82%"
"11/22/2022","2,675.46","2,641.19","2,677.33","2,641.19","","1.33%"
"11/21/2022","2,640.44","2,657.55","2,657.68","2,632.17","","-0.69%"
"11/18/2022","2,658.90","2,645.26","2,666.00","2,642.83","","0.63%"
"11/17/2022","2,642.34","2,656.81","2,660.61","2,622.46","","-0.57%"
"11/16/2022","2,657.58","2,678.36","2,680.39","2,654.64","","-0.77%"
"11/15/2022","2,678.23","2,654.01","2,697.18","2,653.13","","0.92%"
"11/14/2022","2,653.94","2,673.82","2,680.96","2,653.94","","-0.75%"
"11/11/2022","2,674.08","2,639.57","2,681.11","2,639.57","","1.42%"
"11/10/2022","2,636.55","2,507.96","2,640.26","2,502.00","","5.05%"
"11/09/2022","2,509.77","2,554.33","2,555.69","2,506.12","","-1.77%"
"11/08/2022","2,554.87","2,535.68","2,571.35","2,533.10","","0.84%"
"11/07/2022","2,533.63","2,508.80","2,538.64","2,507.97","","1.05%"
"11/04/2022","2,507.22","2,466.38","2,525.74","2,464.94","","1.59%"
